사업장명,주사육업종,사육두수,지번주소,위도(lat),경도(lon)
삼태리농장,염소,36,충청남도 천안시 동남구 풍세면 삼태리 231-8번지,36.741276394743956,127.08584374097221
야타리농장,한우,8,충청남도 천안시 동남구 풍세면 풍서리 27번지,36.72765546398804,127.126339110818
가교농산,한우,116,충청남도 천안시 동남구 성남면 석곡리 51-1번지 51-11,36.74276136198934,127.22483448177121
초록원,염소,17,충청남도 천안시 동남구 성남면 봉양리 779번지,36.70209916435385,127.25311562006422
부복농장,돼지,2000,"충청남도 천안시 동남구 동면 송연리 20번지 29-1,29-3",36.78535497403515,127.36189394900046
원진농장,한우,25,충청남도 천안시 서북구 직산읍 판정리 323-7번지,36.908202013696425,127.17100930479457
병일농장,산양,8,충청남도 천안시 서북구 직산읍 남산리 253-1번지,36.89401104031539,127.16833355472937
흥연농장,사슴,3,충청남도 천안시 서북구 직산읍 자은가리 19-8번지,36.880915347183716,127.12680218643438
사곡농장,산양,10,충청남도 천안시 서북구 직산읍 군서리 18-12번지,36.8966244764366,127.16098963080455
안흥목장,젖소,65,충청남도 천안시 서북구 입장면 용정리 159-1번지,36.92300482786892,127.18688538084254
삼성농장,한우,116,충청남도 천안시 동남구 병천면 봉항리 312-1번지,36.83903412959514,127.31251354840292
삼성농장,한우,5,충청남도 천안시 동남구 병천면 봉항리 312-1번지,36.83903412959514,127.31251354840292
충무3농장,돼지,1093,충청남도 천안시 동남구 풍세면 삼태리 413-2번지 외1(413-1),36.73523649600459,127.08203378441144
상록목장,염소,31,충청남도 천안시 동남구 수신면 장산리 768번지,36.75193336187774,127.28498688103727
한우농장,한우,8,충청남도 천안시 서북구 입장면 가산리 175-5번지,36.93389866954611,127.19918181183034
한우농장,한우,90,충청남도 천안시 서북구 입장면 가산리 175-5번지,36.93389866954611,127.19918181183034
한우농장,한우,11,충청남도 천안시 서북구 입장면 가산리 175-5번지,36.93389866954611,127.19918181183034
가나농장,한우,5,충청남도 천안시 동남구 광덕면 매당리 82-2번지 외 1필지(81-14),36.70264616835854,127.1075051120878
서일농장,한우,23,충청남도 천안시 동남구 광덕면 매당리 649번지,36.70888144583596,127.08982026646963
오성농장,한우,1,충청남도 천안시 동남구 광덕면 신덕리 157번지,36.691192399327186,127.1245780333975
삼흥농장,한우,12,충청남도 천안시 동남구 광덕면 보산원리 288번지,36.6918690722835,127.07360233786115
종만농장,한우,2,충청남도 천안시 동남구 북면 양곡리 225번지,36.85288300367369,127.28037479885433
남중농장,한우,59,충청남도 천안시 동남구 목천읍 운전리 34-5,36.768186585587706,127.24102326567649
사슴영토한록원,사슴,17,충청남도 천안시 동남구 성남면 화성리 12-23번지,36.75977210302176,127.25106416460333
응원목장,한우,40,충청남도 천안시 동남구 목천읍 응원리 196-4번지,36.76195906287772,127.18295106164553
대경농장,한우,5,충청남도 천안시 동남구 성남면 신사리 559-28번지,36.744756574119435,127.22362287593829
대연1농장,한우,17,충청남도 천안시 동남구 성남면 대흥리 343,36.73131640384892,127.23808903383339
대연2농장,산양,8,충청남도 천안시 동남구 성남면 대흥리 343번지,36.73131640384892,127.23808903383339
신덕농장,한우,5,충청남도 천안시 동남구 성남면 신덕리 95번지,36.71900128482348,127.24181796842046
조은농장,한우,0,충청남도 천안시 동남구 성남면 신덕리 354-1번지,36.719783756693424,127.23710943302147
상향농장,한우,26,충청남도 천안시 동남구 목천읍 교천리 202-1번지 외 1필지(202-2),36.782141561239214,127.19145169677118
와촌농장,한우,27,충청남도 천안시 동남구 병천면 송정리 178-5번지,36.73583703118387,127.32035115748415
대진농장,한우,271,충청남도 천안시 동남구 병천면 송정리 139-3번지,36.73922617294091,127.3209496067073
둥지농장,한우,33,충청남도 천안시 동남구 병천면 송정리 산 32번지,36.74351153276609,127.32163833882898
대호농장,한우,35,충청남도 천안시 동남구 동면 화덕리 15-2,36.77229545568177,127.40808467110507
상봉2농장,한우,36,충청남도 천안시 동남구 동면 죽계리 405번지,36.79262486300029,127.37132165564911
한우농장,한우,8,"충청남도 천안시 동남구 병천면 송정리 250-1,251-2",,
한우농장,한우,90,"충청남도 천안시 동남구 병천면 송정리 250-1,251-2",,
한우농장,한우,11,"충청남도 천안시 동남구 병천면 송정리 250-1,251-2",,
윤선목장,젖소,50,충청남도 천안시 서북구 성환읍 왕림리 271-14번지,36.92717936089641,127.09094579757668
삼봉농장,육계,87000,충청남도 천안시 동남구 성남면 대흥리 42-2번지,36.73165064923147,127.25164018590975
우정목장,젖소,56,"충청남도 천안시 동남구 성남면 봉양리 675번지 외 3필지(674-1, 674-2, 672)",36.70156421870975,127.26068959796456
신덕농장,한우,5,충청남도 천안시 동남구 성남면 신덕리 513번지,36.72133280545307,127.23133777204728
은하농장,산란육성계,135438,충청남도 천안시 동남구 성남면 봉양리 648-1 외 1필지(648-2),36.705648542550335,127.2549725165727
평원목장,젖소,0,충청남도 천안시 서북구 직산읍 상덕리 332번지,36.887496597086844,127.12866828646199
청수농장,돼지,1000,충청남도 천안시 서북구 직산읍 마정리 362번지,36.87080402087175,127.0854789115015
제일농장,돼지,3500,"충청남도 천안시 동남구 동면 장송리 359-2번지 외 5(357,359,359-3,164-1,164-7)",36.77852176285558,127.3703976928238
대호농장,한우,35,충청남도 천안시 서북구 성환읍 율금리 481-6번지 외 1필지,36.90619484616035,127.10588647270376
일헌농원,돼지,1700,"충청남도 천안시 서북구 성환읍 신방리 224-13 외12(224-10,11,12,14,15,16,17,18,103,104,105,106)",36.94390946653448,127.08547243173408
대명2목장,젖소,90,충청남도 천안시 서북구 성환읍 양령리 620-1번지,36.96694983543875,127.14157887454385
상령목장,젖소,64,충청남도 천안시 서북구 성환읍 양령리 589-10번지,36.95917274364095,127.15144786283986
장수농장,육우,161,충청남도 천안시 서북구 입장면 흑암리 291-8번지,36.93621241021375,127.18273287180759
경훈농장,한우,80,충청남도 천안시 동남구 풍세면 보성리 684번지,36.72655867666565,127.12276449934527
도영목장,젖소,105,충청남도 천안시 서북구 성환읍 양령리 614-6번지,36.962470763085946,127.14252597348961
YT목장,젖소,150,충청남도 천안시 서북구 성환읍 양령리 611-6번지,36.96685449014039,127.14399177845824
산우물목장,젖소,90,충청남도 천안시 서북구 성환읍 도하리 209번지,36.9437792823227,127.17218222942171
송연농장,한우,4,충청남도 천안시 동남구 동면 송연리 466-1번지,36.76929584964021,127.34069987679439
영민농장,한우,5,충청남도 천안시 동남구 동면 송연리 531번지,36.7650981188907,127.34408651212827
서림농장,한우,7,충청남도 천안시 동남구 동면 송연리 509번지,36.764815096221064,127.34513989621955
도원양계,종계/산란계,110208,충청남도 천안시 동남구 병천면 도원리 164,36.77581825319287,127.31641782528992
흑성산흑염소농장,염소,30,충청남도 천안시 동남구 목천읍 신계리 88-2번지 신계리 88-6(도로명주소없음),36.77480400474171,127.21737196111835
금잔디농원,육계,36720,충청남도 천안시 동남구 병천면 병천리 751-68번지,36.770000417546065,127.30314708716061
승현2농장,육우,200,충청남도 천안시 서북구 성환읍 양령리 558-2번지,36.96173510554019,127.16529899834546
태양목장,한우,337,"충청남도 천안시 동남구 성남면 대흥리 472-3번지 479-1,2,3,4,5,472-15,17",36.72439449536775,127.23222894331577
관성2농장,한우,150,충청남도 천안시 동남구 성남면 대흥리 7-5번지,36.733622238072066,127.2409797714642
마을농장,한우,9,충청남도 천안시 동남구 광덕면 매당리 280번지,36.709237152585466,127.10983526142533
재용농장,한우,14,충청남도 천안시 동남구 광덕면 매당리 74-2번지,36.70797128635952,127.11220828467302
다원농장,육계,86500,"충청남도 천안시 동남구 목천읍 운전리 49-5번지 , 49-4",36.76666518449709,127.24362396146519
블랙잭목장,젖소,200,"충청남도 천안시 서북구 성환읍 양령리 566-2번지 566-3, 566-4",36.96151920923998,127.16163707436691
한국염소연구소,염소,300,충청남도 천안시 동남구 동면 장송리 156번지,36.78499461787042,127.38005481121887
지민목장,한우,25,충청남도 천안시 서북구 성환읍 대홍리 87-5번지,36.94195730873943,127.1435539969266
제일목장,젖소,145,충청남도 천안시 서북구 성환읍 양령리 589-8번지,36.95980478647972,127.15158677362241
석곡농장,오리,24878,충청남도 천안시 동남구 성남면 대흥리 10-3번지,36.729540935132434,127.2382825658417
모산농장,오리,15000,충청남도 천안시 동남구 동면 동산리 5-2번지 외2필지,36.79574201955548,127.36736303817905
새경근목장,젖소,28,충청남도 천안시 서북구 성환읍 왕림리 171-3번지,36.92230835204163,127.08717447915008
정필농장,육계,176465,"충청남도 천안시 서북구 성환읍 성환리 17-12 외 3(19-9,10,13)",36.93862092848478,127.12772453193261
가송농장,육계,39246,충청남도 천안시 동남구 풍세면 가송리 305번지,36.73734372538413,127.13235303436502
가송농장,육계,33000,충청남도 천안시 동남구 풍세면 가송리 305번지,36.73734372538413,127.13235303436502
번영농장,육계,125873,충청남도 천안시 서북구 성환읍 성환리 13-10 외2필지,36.94006480938632,127.12746403435438
성환축산,육계,75000,충청남도 천안시 서북구 성환읍 신가리 504-2번지,36.965235711649754,127.103768138573
영풍농장,육계,80000,충청남도 천안시 동남구 광덕면 대평리 146-1번지,36.674842686695484,127.15074132828524
안기농장,산양,10,충청남도 천안시 동남구 동면 화덕리 산 45번지,36.772772114471465,127.40889703128697
장비농장,산양,10,충청남도 천안시 동남구 동면 장송리 570-4번지,36.78396483841411,127.37306948064712
부부농장,한우,70,충청남도 천안시 서북구 성거읍 천흥리 산 17번지,36.8798708090353,127.2170114705627
가마골농장,한우,58,충청남도 천안시 서북구 성거읍 정촌리 223-1번지,36.886543367701556,127.18272891112328
팜스월드지지피천안 유전자연구소,돼지,130,충청남도 천안시 동남구 병천면 가전리 678-13번지,36.76133637351875,127.25841301720816
만나축산,돼지,3000,"충청남도 천안시 동남구 수신면 해정리 155 외 4(155-2,3,167,168)",36.717240067271725,127.27478451275441
상훈2농장,돼지,1000,충청남도 천안시 서북구 직산읍 부송리 200-5번지,36.872186701479315,127.13153425254134
재두농장,한우,45,충청남도 천안시 동남구 병천면 봉항리 35번지 3통,36.85075620423396,127.31281186802181
백전백두농장,한우,60,충청남도 천안시 동남구 병천면 가전리 585번지 1통,36.75942758083721,127.26543909894268
행복농장,한우,65,충청남도 천안시 동남구 병천면 송정리 29-1번지,36.73846869600173,127.32588850602284
행복농장,한우,0,충청남도 천안시 동남구 병천면 송정리 29-1번지,36.73846869600173,127.32588850602284
원규농장,한우,0,충청남도 천안시 동남구 병천면 봉항리 114-1번지 3통,36.849029022876366,127.31531165800419
봉황농장,한우,90,충청남도 천안시 동남구 병천면 매성리 5-2번지,36.82447023667689,127.31103712003357
형재목장,한우,60,충청남도 천안시 동남구 성남면 봉양리 536-3번지,36.699410230628324,127.26179883506003
봉양목장,젖소,60,충청남도 천안시 동남구 성남면 봉양리 611-1번지 외 1필지,36.70034644326695,127.2557099021994
관성농장,한우,15,충청남도 천안시 동남구 병천면 관성리 385번지,36.8138459992756,127.33318795970649
관성농장,한우,30,충청남도 천안시 동남구 병천면 관성리 385번지,36.8138459992756,127.33318795970649
관성농장,한우,190,충청남도 천안시 동남구 병천면 관성리 385번지,36.8138459992756,127.33318795970649
창섭농장,한우,15,충청남도 천안시 동남구 병천면 관성리 616번지,36.818065884281765,127.31612849989004
효성농장,돼지,1600,충청남도 천안시 동남구 병천면 관성리 719-5번지 외 4필지,36.81872437961486,127.31924111947649
인섭농장,한우,130,충청남도 천안시 동남구 병천면 관성리 615-3번지,36.818211138006035,127.31730613505302
송림농장,한우,196,충청남도 천안시 동남구 수신면 장산리 589번지,36.74591338716528,127.2952594144947
오곡2농장,한우,90,충청남도 천안시 동남구 북면 용암리 303-3번지,36.792825655295495,127.25754214848313
송이농장,한우,47,충청남도 천안시 서북구 입장면 효계리 130-2번지,36.904564976651955,127.21722517383425
송원목장,한우,30,충청남도 천안시 동남구 수신면 속창리 38-7번지,36.73360446108935,127.28448012135529
누리목장,한우,30,충청남도 천안시 동남구 북면 납안리 193-7번지,36.854383820110804,127.25758779732644
부대동면농장,돼지,7500,충청남도 천안시 동남구 동면 송연리 28-7번지,36.7893314841717,127.36349466528804
털보농장,한우,40,충청남도 천안시 동남구 동면 덕성리 234번지,36.80629273772059,127.37099163300884
행복2농장,한우,170,충청남도 천안시 동남구 병천면 송정리 447-4번지,36.7349100922357,127.32810410726523
수민목장,육우,59,충청남도 천안시 동남구 북면 은지리 343-3번지 외 1필지,36.776210600349444,127.26289004434709
도현농장,한우,14,충청남도 천안시 동남구 수신면 장산리 336-7번지 외 1필지,36.74598292478251,127.29805050702359
신대진목장,젖소,160,충청남도 천안시 동남구 동면 죽계리 327,36.79448328903391,127.37667807810583
아우내농장,오리,12341,"충청남도 천안시 동남구 병천면 도원리 442번지 외2필지(418-1,443)",36.789661712972176,127.30569842216627
해성2농장,돼지,3200,"충청남도 천안시 동남구 동면 구도리 9-1번지 외6필지(9-2,9-3,9-4,10,11,19)",36.75827095807482,127.34788105511791
충무농업회사 법인주식회사,돼지,6500,충청남도 천안시 동남구 병천면 관성리 792번지 외 11필지,36.822696181801376,127.31922987869069
보람축산,돼지,2100,"충청남도 천안시 동남구 병천면 병천리 629번지 외 2필지(629-2, 630-1)",36.78139659930261,127.29376034881683
금호농장,돼지,7500,충청남도 천안시 동남구 목천읍 삼성리 32번지,36.75096320127929,127.17117578623092
소망농장,종계/산란계,82000,충청남도 천안시 동남구 풍세면 용정리 117-8,36.75063985390724,127.11125393001802
동진목장,젖소,112,충청남도 천안시 서북구 직산읍 부송리 187번지,36.87335921327873,127.12873159555413
용승목장,한우,37,충청남도 천안시 서북구 직산읍 마정리 272번지,36.86934055510685,127.09544592500248
용연목장,한우,120,충청남도 천안시 동남구 목천읍 서흥리 78-9번지 외 1필지,36.8010886461277,127.2321876503679
대한농장,육계,30000,충청남도 천안시 동남구 성남면 대흥리 584-1번지,36.72359198567288,127.21794459619326
창대목장,젖소,81,"충청남도 천안시 서북구 성환읍 대홍리 256번지 외 4필지(256-2,3,5,6)",,
제일축산,한우,150,충청남도 천안시 서북구 성환읍 도하리 626-3번지 외 1필지(626-4),36.94455508424565,127.17437438503735
세유농장,한우,17,충청남도 천안시 서북구 성거읍 천흥리 53번지,36.877082992883324,127.21337954371353
주형목장,한우,79,충청남도 천안시 동남구 목천읍 소사리 212-2,36.74444971793934,127.16831261990555
큰골목장,한우,114,충청남도 천안시 서북구 성환읍 신방리 271-6번지,36.943758245854795,127.07903916207272
버들목장,젖소,119,"충청남도 천안시 서북구 성환읍 양령리 438-5번지 , 6",36.96760673511913,127.1472169262692
한성목장,젖소,65,충청남도 천안시 서북구 성환읍 양령리 429-1번지 외 1필지,36.96626915371387,127.14838435982232
상령목장,젖소,64,충청남도 천안시 서북구 성환읍 양령리 390번지,36.96666537618336,127.15129886289215
서인농장,한우,14,충청남도 천안시 동남구 북면 오곡리 223-1번지,36.829910817675035,127.28073989996302
그린농장,한우,200,"충청남도 천안시 동남구 북면 상동리 196번지 외 1필지,202-1",,
종일목장,한우,55,충청남도 천안시 동남구 성남면 신덕리 491번지,36.716687270455175,127.23151898898652
관성농장,한우,15,충청남도 천안시 동남구 병천면 관성리 596번지 외 1필지,36.808736544902864,127.32831521955829
관성농장,한우,30,충청남도 천안시 동남구 병천면 관성리 596번지 외 1필지,36.808736544902864,127.32831521955829
관성농장,한우,190,충청남도 천안시 동남구 병천면 관성리 596번지 외 1필지,36.808736544902864,127.32831521955829
거기농장,육계,2000,충청남도 천안시 동남구 성남면 석곡리 237-2번지,36.736436075318636,127.22269075046289
쉼터사슴농장,사슴,18,충청남도 천안시 동남구 목천읍 송전리 117번지,36.8384209149417,127.21715068523929
거록원사슴농장,사슴,25,충청남도 천안시 동남구 목천읍 덕전리 204번지,36.81838253344805,127.22284926427498
용연사슴농장,사슴,28,충청남도 천안시 동남구 목천읍 서흥리 17번지,36.807026804148805,127.24170308419326
천응사슴농장,사슴,15,충청남도 천안시 동남구 목천읍 응원리 249-5번지,36.764108776173046,127.17495231999847
규암농장,한우,11,충청남도 천안시 동남구 풍세면 용정리 산 47-2번지,36.73474980260544,127.10709394118442
